# Wohnung Kauf from immoscout24.de on 2020-06-22
ID,pulldate,publishDate,Miete/Kauf,Haus/Wohnung,address,city,postcode,quarter,lat,lon,title,numberOfRooms,livingSpace,contactDetails,courtage,balcony,builtInKitchen,garden,price,privateOffer,floorplan,from,ID,url,Provision,Hausgeld,Baujahr,Objektzustand,Renovierung in Beschr.,Bundesland,EUR/qm
119903518,2020.06.22,2020-06-22T10:19:08.000+02:00,Kauf,Wohnung,"Blumenthal, Bremen",Bremen,28779,Blumenthal,,,Helle 3-Zimmerwohnung mit Balkon und Garage,3,77,Robert C. Spies KG,YES,true,false,false,99000,false,true,001.614021,119903518,https://www.immobilienscout24.de/expose/119903518,"7,14% des Kaufpreises",247 €,2008,,,Bremen,1285.7142857142858
118892026,2020.06.22,2020-05-28T18:42:32.000+02:00,Kauf,Wohnung,"Lüssum-Bockhorn, Bremen",Bremen,28779,Lüssum-Bockhorn,,,Bremen - Lüssum | Schicke Eigentumswohnung mit Balkon in gepflegtem 6-Parteien-Haus!,3,66,Wellmann Immobilien GmbH & Co. KG,YES,false,false,false,90000,false,false,001.15710810,118892026,https://www.immobilienscout24.de/expose/118892026,"5,95 % inkl. 19% MwSt. (Käuferprovision)",300 €,1968,Gepflegt,,Bremen,1363.6363636363637
118647999,2020.06.22,2020-05-22T17:12:27.000+02:00,Kauf,Wohnung,"Lüssum-Bockhorn, Bremen",Bremen,28779,Lüssum-Bockhorn,,,Schnuckelige Eigentumswohnung in Blumenthal,2,80,Marescaux-Immobilien,YES,true,true,false,112000,false,false,002.01002857277,118647999,https://www.immobilienscout24.de/expose/118647999,"5,95% vom Kaufpreis (inkl. MwSt.)",,1926,Gepflegt,,Bremen,1400.0
117614285,2020.06.22,2020-04-23T11:36:26.000+02:00,Kauf,Wohnung,"Vegesack, Bremen",Bremen,28757,Vegesack,,,Umwandlung in Wohnimmobilie möglich!!!,6,286,ImmoSky Deutschland GmbH,YES,false,false,false,410000,false,false,001.4338188,117614285,https://www.immobilienscout24.de/expose/117614285,6.25%,,1989,,,Bremen,1433.5664335664335
116454002,2020.06.22,2020-06-22T11:20:12.000+02:00,Kauf,Wohnung,"Burgdamm, Bremen",Bremen,28719,Burgdamm,,,Interessante Gelegenheit für Kapitalanleger oder Selbstnutzer Eigentumswohnung in Bremen-Burgdamm,3,62.03,Sparkasse Immobilien Bremen GmbH,YES,false,false,false,89000,false,true,001.12915893,116454002,https://www.immobilienscout24.de/expose/116454002,"7,14 % inkl. ges. MwSt.",,1962,Renovierungsbedürftig,,Bremen,1434.7896179268096
118800128,2020.06.22,2020-05-29T11:51:01.000+02:00,Kauf,Wohnung,"Blumenthal, Bremen",Bremen,28779,Blumenthal,,,Dachgeschosswohnung mit Süd-Balkon,2,40,von Rahden Immobilien GbR,YES,true,false,false,60500,false,true,001.3860679,118800128,https://www.immobilienscout24.de/expose/118800128,"7,14",,1985,Gepflegt,,Bremen,1512.5
115424153,2020.06.22,2020-01-21T17:00:32.000+01:00,Kauf,Wohnung,"Burgdamm, Bremen",Bremen,28717,Burgdamm,,,Über den Dächern von Burgdamm - Moderne 4-Zimmer-Eigentumswohnung mit PKW-Stellplatz und Aufzug,4,90,Sparkasse Immobilien Bremen GmbH,YES,true,true,false,139000,false,true,001.12915893,115424153,https://www.immobilienscout24.de/expose/115424153,"5,95 % inkl. ges. MwSt.",,1973,Gepflegt,,Bremen,1544.4444444444443
117115769,2020.06.22,2020-04-08T09:20:25.000+02:00,Kauf,Wohnung,"Oslebshausen, Bremen",Bremen,28239,Oslebshausen,,,"3-Zimmer-Eigentumswohnung mit Balkon, Aufzug und Tiefgaragenstellplatz in Bremen-Oslebshausen",3,76,Weser-Elbe Sparkasse,YES,false,false,false,124000,false,true,002.01000538091,117115769,https://www.immobilienscout24.de/expose/117115769,"5,95 % inkl. ges. MwSt.",225 €,1977,Renovierungsbedürftig,,Bremen,1631.578947368421
115928020,2020.06.22,2020-03-09T08:28:45.000+01:00,Kauf,Wohnung,"Heinrich-Plett-Allee 8, Mittelshuchting, Bremen",Bremen,28259,Mittelshuchting,53.05581,8.71555,Kaufen statt mieten!,3,67,Erol Immobilien GmbH,YES,true,false,true,110000,false,true,002.01008992610,115928020,https://www.immobilienscout24.de/expose/115928020,"5,95% inkl. MwSt",169 €,,Gepflegt,,Bremen,1641.7910447761194
119365198,2020.06.22,2020-06-09T09:48:55.000+02:00,Kauf,Wohnung,"Sodenmatt, Bremen",Bremen,28259,Sodenmatt,,,GROßZÜGIG & HELL MIT BALKON/WINTERGARTEN,3,60,Betterhomes Deutschland GmbH,YES,true,true,false,99800,false,false,002.01006382082,119365198,https://www.immobilienscout24.de/expose/119365198,5.95% inkl. MwSt.,187 €,,,,Bremen,1663.3333333333333
116145970,2020.06.22,2020-02-25T15:38:59.000+01:00,Kauf,Wohnung,"Burg-Grambke, Bremen",Bremen,28719,Burg-Grambke,,,Grambke! Kapitalanlage-Vermietete 3 Zimmer-Eigentumswohnung mit Balkon!,3,75,Micaela Fundt Immobilien,YES,true,false,false,129000,false,false,001.10427175,116145970,https://www.immobilienscout24.de/expose/116145970,"5,95% inkl. der gesetzlichen Mehrwertsteuer",280 €,1967,,,Bremen,1720.0
119434045,2020.06.22,2020-06-10T20:00:27.000+02:00,Kauf,Wohnung,"Kirchhuchting, Bremen",Bremen,28259,Kirchhuchting,,,Charmante 3-Zimmer-Wohnung in zentraler Lage von Bremen - Kirchhuchting,3,66,PlanetHome Group GmbH,YES,true,true,false,115000,false,true,001.76007,119434045,https://www.immobilienscout24.de/expose/119434045,"5,95% des Kaufpreises inkl. MwSt.",,1959,Gepflegt,,Bremen,1742.4242424242425
117929680,2020.06.22,2020-05-02T09:15:20.000+02:00,Kauf,Wohnung,"Mittelshuchting, Bremen",Bremen,28259,Mittelshuchting,,,Lichtdurchflutete & gepflegte 3-Zimmer Wohnung in Huchting!,3,78,KENSINGTON Finest Properties Immobilien GmbH,YES,true,true,false,137500,false,false,002.01009082086,117929680,https://www.immobilienscout24.de/expose/117929680,"3,57 inkl. MwSt.",305 €,1970,Gepflegt,,Bremen,1762.820512820513
119807942,2020.06.22,2020-06-19T16:52:29.000+02:00,Kauf,Wohnung,"Lindenhof, Bremen",Bremen,28237,Lindenhof,,,Kapitalanlage! Vermietete 3 Zimmer-Eigentumswohnung direkt an der Gröpelinger Heerstraße!,3,67,Micaela Fundt Immobilien,YES,true,true,false,119000,false,false,001.10427175,119807942,https://www.immobilienscout24.de/expose/119807942,"5,95 % inkl. der gesetzlichen MwSt",216 €,1940,Saniert,,Bremen,1776.1194029850747
115559088,2020.06.22,2020-01-30T11:40:58.000+01:00,Kauf,Wohnung,"Tenever, Bremen",Bremen,28325,Tenever,,,Solide Wohnung mit Balkon und Fahrstuhl ,3,72,Sparkasse Immobilien Bremen GmbH,YES,false,true,false,128000,false,true,001.12915893,115559088,https://www.immobilienscout24.de/expose/115559088,"5,95 % inkl. ges. MwSt.",,1972,Renovierungsbedürftig,,Bremen,1777.7777777777778
